mode,tree,n_init,n_search,threads,rep,elapsed_s,throughput_mops,instructions_total,cycles_total
seq,bal,1000000,50000000,1,1,0.593276,84.27780661951604,7391503825,3356683430
seq,bal,1000000,50000000,1,2,0.592303,84.4162531677199,7391503822,3246310024
seq,bal,1000000,50000000,1,3,0.606696,82.41359758429262,7391503835,3323866078
cg,bal,1000000,50000000,1,1,0.785249,63.67407026306306,11615360084,4286495699
fg,bal,1000000,50000000,1,1,1.073165,46.59115793004804,11964165409,5974826025
ideal,bal,1000000,50000000,1,1,0.634607,78.78891975663679,7540260318,3473181944
cg,bal,1000000,50000000,1,2,0.786191,63.59777713049374,11612285988,4304167437
fg,bal,1000000,50000000,1,2,1.069007,46.772378478344855,11962573973,5926117970
ideal,bal,1000000,50000000,1,2,0.627522,79.67848139188746,7541301832,3436586515
cg,bal,1000000,50000000,1,3,0.849837,58.83481185215518,11615958224,4593580516
fg,bal,1000000,50000000,1,3,1.079115,46.33426465205284,11962318954,5907690107
ideal,bal,1000000,50000000,1,3,0.628678,79.53197026140569,7538535509,3438908702
cg,bal,1000000,50000000,2,1,2.943393,16.987198107762026,12093242655,16809551473
fg,bal,1000000,50000000,2,1,1.684231,29.687139115715123,11840434405,16741856752
ideal,bal,1000000,50000000,2,1,0.323037,154.78103127505517,7539894797,3490851757
cg,bal,1000000,50000000,2,2,1.964221,25.455384093745053,11834184251,11099316144
fg,bal,1000000,50000000,2,2,1.977278,25.28728888906871,11821889331,21555323572
ideal,bal,1000000,50000000,2,2,0.324018,154.31241474239087,7541208742,3475896934
cg,bal,1000000,50000000,2,3,2.520415,19.838002868575217,11961435534,13210245435
fg,bal,1000000,50000000,2,3,1.689358,29.5970421899917,11844891369,16780338396
ideal,bal,1000000,50000000,2,3,0.318717,156.8789866872492,7540761127,3474244230
cg,bal,1000000,50000000,4,1,4.222513,11.841289772228055,12162176212,21931975155
fg,bal,1000000,50000000,4,1,1.627235,30.726969368284237,11683722344,32454850492
ideal,bal,1000000,50000000,4,1,0.176286,283.6300103241324,7530150533,3468896960
cg,bal,1000000,50000000,4,2,4.129741,12.107296801421686,12132480764,21081000459
fg,bal,1000000,50000000,4,2,1.739125,28.75008984403076,11669950550,35027761458
ideal,bal,1000000,50000000,4,2,0.186285,268.4059371393295,7801636131,3589706153
cg,bal,1000000,50000000,4,3,4.212780,11.86864730652918,12201086583,21561975303
fg,bal,1000000,50000000,4,3,1.662690,30.071751198359284,11685775110,33570626288
ideal,bal,1000000,50000000,4,3,0.175900,284.25241614553727,7538594156,3505014693
cg,bal,1000000,50000000,8,1,10.101603,4.949709466903421,12461488174,36799371727
fg,bal,1000000,50000000,8,1,2.657036,18.81796106639127,11680864294,75125959056
ideal,bal,1000000,50000000,8,1,0.156370,319.75442859883606,7998780860,3675024696
cg,bal,1000000,50000000,8,2,10.535387,4.745910140747558,12369623900,37339086456
fg,bal,1000000,50000000,8,2,2.438240,20.50659492092657,11705389491,65646428105
ideal,bal,1000000,50000000,8,2,0.155505,321.5330696762162,8001911288,3691141336
cg,bal,1000000,50000000,8,3,10.399242,4.808042740038169,12517461215,37665018467
fg,bal,1000000,50000000,8,3,2.467273,20.265288843188408,11767794545,66981817614
ideal,bal,1000000,50000000,8,3,0.154197,324.2605238753024,8020509781,3669287025
cg,bal,1000000,50000000,16,1,12.937886,3.8646189957153743,12501862426,37545281196
fg,bal,1000000,50000000,16,1,3.401766,14.69824791005613,20505186786,151834206907
ideal,bal,1000000,50000000,16,1,0.096449,518.4086926769588,9052527154,4111337957
cg,bal,1000000,50000000,16,2,12.963416,3.8570080602211636,11502010683,34752703569
fg,bal,1000000,50000000,16,2,3.128424,15.982488307211556,20221545120,138978983012
ideal,bal,1000000,50000000,16,2,0.096722,516.945472591551,8666998526,3981645865
cg,bal,1000000,50000000,16,3,13.184559,3.792314934462351,13163284263,41849508444
fg,bal,1000000,50000000,16,3,3.208131,15.58539847655847,20913453891,142369680082
ideal,bal,1000000,50000000,16,3,0.096550,517.8663904712585,8610305838,3975745292
cg,bal,1000000,50000000,32,1,16.252310,3.076485742642123,9577381011,33871361817
fg,bal,1000000,50000000,32,1,4.657495,10.735384579049468,37131567490,378855181299
ideal,bal,1000000,50000000,32,1,0.059181,844.8657508321928,4157614284,3012904990
cg,bal,1000000,50000000,32,2,16.607300,3.0107241995989718,8530143065,31749678306
fg,bal,1000000,50000000,32,2,4.128257,12.11164905673266,37838216813,321753915516
ideal,bal,1000000,50000000,32,2,0.057727,866.1458243109811,4405343154,3177646606
cg,bal,1000000,50000000,32,3,16.349547,3.058188707002096,9084967570,33543486529
fg,bal,1000000,50000000,32,3,4.241650,11.787865571181028,38881061935,339688441340
ideal,bal,1000000,50000000,32,3,0.056905,878.6574114752659,3773843046,2887955132
cg,bal,1000000,50000000,64,1,19.453828,2.5701882426430416,9487434590,35862020966
fg,bal,1000000,50000000,64,1,4.887280,10.230639537738783,36146559022,411144735246
ideal,bal,1000000,50000000,64,1,0.062597,798.7603239771873,4660263155,3010114268
cg,bal,1000000,50000000,64,2,19.094309,2.618581274661471,9590948583,37236313897
fg,bal,1000000,50000000,64,2,4.803504,10.409068046992362,34264699650,409674777907
ideal,bal,1000000,50000000,64,2,0.065332,765.3217412600258,5245732306,3181217733
cg,bal,1000000,50000000,64,3,18.879773,2.648336926508597,9967896562,37108836150
fg,bal,1000000,50000000,64,3,4.344871,11.507821521053213,35637889148,365032373176
ideal,bal,1000000,50000000,64,3,0.064893,770.4991293359838,4702448083,3061444081
