mode,tree,n_init,n_search,threads,rep,elapsed_s,throughput_mops,instructions_total,cycles_total
seq,bal,1000000,50000000,1,1,0.612720,81.60334247290768,7391503851,3358781959
seq,bal,1000000,50000000,1,2,0.589092,84.8763860313839,7391503863,3225465337
seq,bal,1000000,50000000,1,3,0.615509,81.23358066250859,7391503986,3364195108
cg,bal,1000000,50000000,1,1,0.786622,63.56293111558029,11616249880,4307409298
fg,bal,1000000,50000000,1,1,1.080792,46.26237055788718,11962225155,5916410363
ideal,bal,1000000,50000000,1,1,0.628086,79.60693280856442,7540657357,3436938885
cg,bal,1000000,50000000,1,2,0.787061,63.527477539860314,11613025833,4306904156
fg,bal,1000000,50000000,1,2,1.090738,45.840522655303104,11962248693,5970725969
ideal,bal,1000000,50000000,1,2,0.648209,77.13561521052623,7538673399,3529151436
cg,bal,1000000,50000000,1,3,0.888609,56.26771729748405,11609930488,4571096177
fg,bal,1000000,50000000,1,3,1.084405,46.10823446959392,11948057299,5925920841
ideal,bal,1000000,50000000,1,3,0.633467,78.93070988701858,7541503876,3418175066
cg,bal,1000000,50000000,2,1,3.131912,15.96468866302757,11983011507,15848288527
fg,bal,1000000,50000000,2,1,2.606787,19.18070022598701,11768731716,19431759449
ideal,bal,1000000,50000000,2,1,0.475643,105.12085744981006,7543069428,3431146298
cg,bal,1000000,50000000,2,2,3.158097,15.83231927328388,11948340778,14319055281
fg,bal,1000000,50000000,2,2,2.120806,23.57594235399183,11704969639,17298231842
ideal,bal,1000000,50000000,2,2,0.377528,132.4405077239304,7528333759,3479584858
cg,bal,1000000,50000000,2,3,2.640131,18.93845419034131,11928395758,11775395370
fg,bal,1000000,50000000,2,3,1.862466,26.846127660853945,11713736480,17231268199
ideal,bal,1000000,50000000,2,3,0.380667,131.34839636742876,7549104555,3494987174
cg,bal,1000000,50000000,4,1,5.570540,8.975790497869147,12197830120,22636783498
fg,bal,1000000,50000000,4,1,2.308980,21.654583409124374,11689480552,36759362163
ideal,bal,1000000,50000000,4,1,0.230540,216.8821028888696,8063998243,3674894370
cg,bal,1000000,50000000,4,2,5.720001,8.741257213066921,12235483298,21775994942
fg,bal,1000000,50000000,4,2,2.449303,20.413970831701917,11716835613,34098265214
ideal,bal,1000000,50000000,4,2,0.239025,209.183139838929,7589781949,3481003450
cg,bal,1000000,50000000,4,3,6.661126,7.506238434763132,12175826925,23081278054
fg,bal,1000000,50000000,4,3,2.413049,20.72067330584667,11679299113,34393949769
ideal,bal,1000000,50000000,4,3,0.248347,201.33120190700913,7756348749,3528527956
cg,bal,1000000,50000000,8,1,10.575716,4.72781228240244,12756343283,35346934231
fg,bal,1000000,50000000,8,1,2.681727,18.64470171646853,11704190098,75113264769
ideal,bal,1000000,50000000,8,1,0.144479,346.0710553090761,8322274352,3827711140
cg,bal,1000000,50000000,8,2,10.945593,4.568048528754906,12639888203,38650485419
fg,bal,1000000,50000000,8,2,2.485100,20.119914691561707,11753325975,68802503614
ideal,bal,1000000,50000000,8,2,0.158271,315.9138439764708,7889553098,3635651600
cg,bal,1000000,50000000,8,3,10.399822,4.8077745946036385,12488906768,35881018041
fg,bal,1000000,50000000,8,3,2.469017,20.250974375632087,11767241076,65783109540
ideal,bal,1000000,50000000,8,3,0.154623,323.3671575380118,8308496059,3780084920
cg,bal,1000000,50000000,16,1,13.476125,3.7102653767310705,11840463891,39132124411
fg,bal,1000000,50000000,16,1,3.367697,14.846941396449859,21034496992,148984804934
ideal,bal,1000000,50000000,16,1,0.095921,521.2622887584574,8842672704,4066130870
cg,bal,1000000,50000000,16,2,13.614586,3.6725317978820655,11817090534,38070263581
fg,bal,1000000,50000000,16,2,3.361202,14.875630801124123,21261073226,149633923900
ideal,bal,1000000,50000000,16,2,0.092094,542.9235346493799,8648937803,3996043990
cg,bal,1000000,50000000,16,3,13.397195,3.7321245230811373,12123857555,38540712718
fg,bal,1000000,50000000,16,3,3.381949,14.784374335627177,21001344539,149625345070
ideal,bal,1000000,50000000,16,3,0.097492,512.8625938538547,8565109190,3959384895
cg,bal,1000000,50000000,32,1,16.734099,2.9879110910004774,8445307310,31013516690
fg,bal,1000000,50000000,32,1,4.366287,11.451377337312,37136025507,345391547558
ideal,bal,1000000,50000000,32,1,0.058466,855.1978927923923,4068833508,2961402682
cg,bal,1000000,50000000,32,2,17.202380,2.9065745553812903,9209559087,34360131674
fg,bal,1000000,50000000,32,2,4.481788,11.156261741965483,33418644755,354527286940
ideal,bal,1000000,50000000,32,2,0.061200,816.9934640522875,4796769530,3334428304
cg,bal,1000000,50000000,32,3,16.932737,2.9528598950069322,8089811609,29891102722
fg,bal,1000000,50000000,32,3,4.133303,12.096862968913724,35206220000,314272619430
ideal,bal,1000000,50000000,32,3,0.064650,773.3952049497293,3773516992,2918686047
cg,bal,1000000,50000000,64,1,19.585749,2.5528765838876013,9716772514,36557725563
fg,bal,1000000,50000000,64,1,4.349200,11.496367147981239,37103891739,363157781433
ideal,bal,1000000,50000000,64,1,0.062374,801.6160579728734,4885548230,3244183122
cg,bal,1000000,50000000,64,2,18.875125,2.6489890795425195,9059991924,33308086743
fg,bal,1000000,50000000,64,2,4.841009,10.328425334470563,34131530725,417376730450
ideal,bal,1000000,50000000,64,2,0.064339,777.1336203546839,4468556717,2966161523
cg,bal,1000000,50000000,64,3,19.738246,2.5331531484611145,9817319547,38081293081
fg,bal,1000000,50000000,64,3,4.889025,10.226987998629584,31238233910,415127122927
ideal,bal,1000000,50000000,64,3,0.067727,738.2580064080795,4854546235,3069727685
